Sample_ID,Timestamp,EMG_Raw
0,2025-03-07 11:04:03.715,499.0
1,2025-03-07 11:04:03.765,532.0
2,2025-03-07 11:04:03.816,521.0
3,2025-03-07 11:04:03.866,528.0
4,2025-03-07 11:04:03.916,511.0
5,2025-03-07 11:04:03.967,537.0
6,2025-03-07 11:04:04.017,514.0
7,2025-03-07 11:04:04.067,529.0
8,2025-03-07 11:04:04.117,526.0
9,2025-03-07 11:04:04.168,534.0
10,2025-03-07 11:04:04.218,340.0
11,2025-03-07 11:04:04.268,536.0
12,2025-03-07 11:04:04.319,513.0
13,2025-03-07 11:04:04.369,512.0
14,2025-03-07 11:04:04.419,521.0
15,2025-03-07 11:04:04.470,515.0
16,2025-03-07 11:04:04.520,529.0
17,2025-03-07 11:04:04.570,536.0
18,2025-03-07 11:04:04.620,537.0
19,2025-03-07 11:04:04.670,504.0
20,2025-03-07 11:04:04.721,524.0
21,2025-03-07 11:04:04.771,520.0
22,2025-03-07 11:04:04.821,453.0
23,2025-03-07 11:04:04.872,506.0
24,2025-03-07 11:04:04.922,519.0
25,2025-03-07 11:04:04.972,502.0
26,2025-03-07 11:04:05.023,526.0
27,2025-03-07 11:04:05.073,527.0
28,2025-03-07 11:04:05.123,426.0
29,2025-03-07 11:04:05.173,533.0
30,2025-03-07 11:04:05.224,536.0
31,2025-03-07 11:04:05.274,515.0
32,2025-03-07 11:04:05.324,533.0
33,2025-03-07 11:04:05.374,528.0
34,2025-03-07 11:04:05.425,492.0
35,2025-03-07 11:04:05.475,528.0
36,2025-03-07 11:04:05.526,530.0
37,2025-03-07 11:04:05.575,424.0
38,2025-03-07 11:04:05.626,523.0
39,2025-03-07 11:04:05.676,526.0
40,2025-03-07 11:04:05.726,535.0
41,2025-03-07 11:04:05.777,498.0
42,2025-03-07 11:04:05.827,505.0
43,2025-03-07 11:04:05.877,535.0
44,2025-03-07 11:04:05.928,542.0
45,2025-03-07 11:04:05.978,466.0
46,2025-03-07 11:04:06.028,455.0
47,2025-03-07 11:04:06.078,518.0
48,2025-03-07 11:04:06.129,534.0
49,2025-03-07 11:04:06.179,520.0
50,2025-03-07 11:04:06.229,533.0
51,2025-03-07 11:04:06.280,548.0
52,2025-03-07 11:04:06.330,536.0
53,2025-03-07 11:04:06.380,523.0
54,2025-03-07 11:04:06.430,513.0
55,2025-03-07 11:04:06.481,454.0
56,2025-03-07 11:04:06.531,546.0
57,2025-03-07 11:04:06.581,527.0
58,2025-03-07 11:04:06.632,520.0
59,2025-03-07 11:04:06.682,544.0
60,2025-03-07 11:04:06.732,307.0
61,2025-03-07 11:04:06.782,538.0
62,2025-03-07 11:04:06.833,531.0
63,2025-03-07 11:04:06.883,526.0
64,2025-03-07 11:04:06.933,524.0
65,2025-03-07 11:04:06.983,538.0
66,2025-03-07 11:04:07.034,532.0
67,2025-03-07 11:04:07.084,520.0
68,2025-03-07 11:04:07.134,517.0
69,2025-03-07 11:04:07.185,519.0
70,2025-03-07 11:04:07.235,523.0
71,2025-03-07 11:04:07.285,508.0
72,2025-03-07 11:04:07.336,541.0
73,2025-03-07 11:04:07.386,532.0
74,2025-03-07 11:04:07.436,540.0
75,2025-03-07 11:04:07.486,519.0
76,2025-03-07 11:04:07.537,508.0
77,2025-03-07 11:04:07.587,520.0
78,2025-03-07 11:04:07.637,537.0
79,2025-03-07 11:04:07.688,536.0
80,2025-03-07 11:04:07.737,522.0
81,2025-03-07 11:04:07.788,527.0
82,2025-03-07 11:04:07.838,437.0
83,2025-03-07 11:04:07.889,516.0
84,2025-03-07 11:04:07.939,512.0
85,2025-03-07 11:04:07.989,531.0
86,2025-03-07 11:04:08.039,531.0
87,2025-03-07 11:04:08.090,522.0
88,2025-03-07 11:04:08.140,527.0
89,2025-03-07 11:04:08.190,529.0
90,2025-03-07 11:04:08.241,520.0
91,2025-03-07 11:04:08.291,456.0
92,2025-03-07 11:04:08.341,507.0
93,2025-03-07 11:04:08.391,524.0
94,2025-03-07 11:04:08.442,535.0
95,2025-03-07 11:04:08.492,524.0
96,2025-03-07 11:04:08.542,508.0
97,2025-03-07 11:04:08.593,529.0
98,2025-03-07 11:04:08.643,522.0
99,2025-03-07 11:04:08.693,534.0
100,2025-03-07 11:04:08.743,502.0
101,2025-03-07 11:04:08.794,547.0
102,2025-03-07 11:04:08.844,526.0
103,2025-03-07 11:04:08.894,529.0
104,2025-03-07 11:04:08.944,527.0
105,2025-03-07 11:04:08.995,372.0
106,2025-03-07 11:04:09.045,525.0
107,2025-03-07 11:04:09.096,523.0
108,2025-03-07 11:04:09.146,527.0
109,2025-03-07 11:04:09.196,518.0
110,2025-03-07 11:04:09.246,522.0
111,2025-03-07 11:04:09.296,480.0
112,2025-03-07 11:04:09.347,383.0
113,2025-03-07 11:04:09.397,416.0
114,2025-03-07 11:04:09.447,540.0
115,2025-03-07 11:04:09.498,526.0
116,2025-03-07 11:04:09.548,534.0
117,2025-03-07 11:04:09.598,544.0
118,2025-03-07 11:04:09.649,526.0
119,2025-03-07 11:04:09.699,434.0
120,2025-03-07 11:04:09.749,537.0
121,2025-03-07 11:04:09.799,514.0
122,2025-03-07 11:04:09.850,513.0
123,2025-03-07 11:04:09.900,523.0
124,2025-03-07 11:04:09.950,483.0
125,2025-03-07 11:04:10.000,500.0
126,2025-03-07 11:04:10.051,525.0
127,2025-03-07 11:04:10.101,533.0
128,2025-03-07 11:04:10.151,524.0
129,2025-03-07 11:04:10.201,541.0
130,2025-03-07 11:04:10.251,541.0
131,2025-03-07 11:04:10.302,535.0
132,2025-03-07 11:04:10.352,444.0
133,2025-03-07 11:04:10.403,525.0
134,2025-03-07 11:04:10.453,530.0
135,2025-03-07 11:04:10.503,484.0
136,2025-03-07 11:04:10.553,524.0
137,2025-03-07 11:04:10.604,456.0
138,2025-03-07 11:04:10.654,522.0
139,2025-03-07 11:04:10.704,538.0
140,2025-03-07 11:04:10.755,533.0
141,2025-03-07 11:04:10.805,522.0
142,2025-03-07 11:04:10.855,477.0
143,2025-03-07 11:04:10.905,536.0
144,2025-03-07 11:04:10.956,509.0
145,2025-03-07 11:04:11.006,536.0
146,2025-03-07 11:04:11.056,489.0
147,2025-03-07 11:04:11.106,527.0
148,2025-03-07 11:04:11.157,461.0
149,2025-03-07 11:04:11.207,542.0
150,2025-03-07 11:04:11.257,547.0
151,2025-03-07 11:04:11.308,449.0
152,2025-03-07 11:04:11.358,435.0
153,2025-03-07 11:04:11.408,437.0
154,2025-03-07 11:04:11.459,534.0
155,2025-03-07 11:04:11.509,461.0
156,2025-03-07 11:04:11.559,459.0
157,2025-03-07 11:04:11.609,531.0
158,2025-03-07 11:04:11.660,520.0
159,2025-03-07 11:04:11.710,530.0
160,2025-03-07 11:04:11.760,470.0
161,2025-03-07 11:04:11.810,525.0
162,2025-03-07 11:04:11.861,530.0
163,2025-03-07 11:04:11.911,545.0
164,2025-03-07 11:04:11.961,510.0
165,2025-03-07 11:04:12.011,479.0
166,2025-03-07 11:04:12.062,528.0
167,2025-03-07 11:04:12.112,527.0
168,2025-03-07 11:04:12.162,526.0
169,2025-03-07 11:04:12.213,491.0
170,2025-03-07 11:04:12.263,516.0
171,2025-03-07 11:04:12.313,523.0
172,2025-03-07 11:04:12.364,528.0
173,2025-03-07 11:04:12.414,334.0
174,2025-03-07 11:04:12.464,479.0
175,2025-03-07 11:04:12.515,543.0
176,2025-03-07 11:04:12.565,551.0
177,2025-03-07 11:04:12.615,536.0
178,2025-03-07 11:04:12.665,532.0
179,2025-03-07 11:04:12.716,528.0
180,2025-03-07 11:04:12.766,465.0
181,2025-03-07 11:04:12.816,525.0
182,2025-03-07 11:04:12.866,484.0
183,2025-03-07 11:04:12.917,496.0
184,2025-03-07 11:04:12.967,538.0
185,2025-03-07 11:04:13.017,497.0
186,2025-03-07 11:04:13.067,539.0
187,2025-03-07 11:04:13.118,507.0
188,2025-03-07 11:04:13.168,524.0
189,2025-03-07 11:04:13.219,529.0
190,2025-03-07 11:04:13.269,527.0
191,2025-03-07 11:04:13.319,533.0
192,2025-03-07 11:04:13.369,543.0
193,2025-03-07 11:04:13.420,520.0
194,2025-03-07 11:04:13.470,532.0
